"time","Resources","Economy","Bureaucracy","Pollution","inflow","outflow1"
8.72,1,0.1,0.01,0.001,0.0995,0.0995
8.73,1,0.1,0.01,0.001,0.0995,0.0995
8.74,1,0.1,0.01,0.001,0.0995,0.0995
8.75,1,0.1,0.01,0.001,0.0995,0.0995
8.76,1,0.1,0.01,0.001,0.0995,0.0995
8.77,1,0.1,0.01,0.001,0.0995,0.0995
8.78,1,0.1,0.01,0.001,0.0995,0.0995
8.79,1,0.1,0.01,0.001,0.0995,0.0995
8.8,1,0.1,0.01,0.001,0.0995,0.0995
8.81,1,0.1,0.01,0.001,0.0995,0.0995
8.82,1,0.1,0.01,0.001,0.0995,0.0995
8.83,1,0.1,0.01,0.001,0.0995,0.0995
8.84,1,0.1,0.01,0.001,0.0995,0.0995
8.85,1,0.1,0.01,0.001,0.0995,0.0995
8.86,1,0.1,0.01,0.001,0.0995,0.0995
8.87,1,0.1,0.01,0.001,0.0995,0.0995
8.88,1,0.1,0.01,0.001,0.0995,0.0995
8.89,1,0.1,0.01,0.001,0.0995,0.0995
8.9,1,0.1,0.01,0.001,0.0995,0.0995
8.91,1,0.1,0.01,0.001,0.0995,0.0995
8.92,1,0.1,0.01,0.001,0.0995,0.0995
8.93,1,0.1,0.01,0.001,0.0995,0.0995
8.94,1,0.1,0.01,0.001,0.0995,0.0995
8.95,1,0.1,0.01,0.001,0.0995,0.0995
8.96,1,0.1,0.01,0.001,0.0995,0.0995
8.97,1,0.1,0.01,0.001,0.0995,0.0995
8.98,1,0.1,0.01,0.001,0.0995,0.0995
8.99,1,0.1,0.01,0.001,0.0995,0.0995
9,1,0.1,0.01,0.001,0.0995,0.0995
9.01,1,0.1,0.01,0.001,0.0995,0.0995
9.02,1,0.1,0.01,0.001,0.0995,0.0995
9.03,1,0.1,0.01,0.001,0.0995,0.0995
9.04,1,0.1,0.01,0.001,0.0995,0.0995
9.05,1,0.1,0.01,0.001,0.0995,0.0995
9.06,1,0.1,0.01,0.001,0.0995,0.0995
9.07,1,0.1,0.01,0.001,0.0995,0.0995
9.08,1,0.1,0.01,0.001,0.0995,0.0995
9.09,1,0.1,0.01,0.001,0.0995,0.0995
9.1,1,0.1,0.01,0.001,0.0995,0.0995
9.11,1,0.1,0.01,0.001,0.0995,0.0995
9.12,1,0.1,0.01,0.001,0.0995,0.0995
9.13,1,0.1,0.01,0.001,0.0995,0.0995
9.14,1,0.1,0.01,0.001,0.0995,0.0995
9.15,1,0.1,0.01,0.001,0.0995,0.0995
9.16,1,0.1,0.01,0.001,0.0995,0.0995
9.17,1,0.1,0.01,0.001,0.0995,0.0995
9.18,1,0.1,0.01,0.001,0.0995,0.0995
9.19,1,0.1,0.01,0.001,0.0995,0.0995
9.2,1,0.1,0.01,0.001,0.0995,0.0995
9.21,1,0.1,0.01,0.001,0.0995,0.0995
9.22,1,0.1,0.01,0.001,0.0995,0.0995
9.23,1,0.1,0.01,0.001,0.0995,0.0995
9.24,1,0.1,0.01,0.001,0.0995,0.0995
9.25,1,0.1,0.01,0.001,0.0995,0.0995
9.26,1,0.1,0.01,0.001,0.0995,0.0995
9.27,1,0.1,0.01,0.001,0.0995,0.0995
9.28,1,0.1,0.01,0.001,0.0995,0.0995
9.29,1,0.1,0.01,0.001,0.0995,0.0995
9.3,1,0.1,0.01,0.001,0.0995,0.0995
9.31,1,0.1,0.01,0.001,0.0995,0.0995
9.32,1,0.1,0.01,0.001,0.0995,0.0995
9.33,1,0.1,0.01,0.001,0.0995,0.0995
9.34,1,0.1,0.01,0.001,0.0995,0.0995
9.35,1,0.1,0.01,0.001,0.0995,0.0995
9.36,1,0.1,0.01,0.001,0.0995,0.0995
9.37,1,0.1,0.01,0.001,0.0995,0.0995
9.38,1,0.1,0.01,0.001,0.0995,0.0995
9.39,1,0.1,0.01,0.001,0.0995,0.0995
9.4,1,0.1,0.01,0.001,0.0995,0.0995
9.41,1,0.1,0.01,0.001,0.0995,0.0995
9.42,1,0.1,0.01,0.001,0.0995,0.0995
9.43,1,0.1,0.01,0.001,0.0995,0.0995
9.44,1,0.1,0.01,0.001,0.0995,0.0995
9.45,1,0.1,0.01,0.001,0.0995,0.0995
9.46,1,0.1,0.01,0.001,0.0995,0.0995
9.47,1,0.1,0.01,0.001,0.0995,0.0995
9.48,1,0.1,0.01,0.001,0.0995,0.0995
9.49,1,0.1,0.01,0.001,0.0995,0.0995
9.5,1,0.1,0.01,0.001,0.0995,0.0995
9.51,1,0.1,0.01,0.001,0.0995,0.0995
9.52,1,0.1,0.01,0.001,0.0995,0.0995
9.53,1,0.1,0.01,0.001,0.0995,0.0995
9.54,1,0.1,0.01,0.001,0.0995,0.0995
9.55,1,0.1,0.01,0.001,0.0995,0.0995
9.56,1,0.1,0.01,0.001,0.0995,0.0995
9.57,1,0.1,0.01,0.001,0.0995,0.0995
9.58,1,0.1,0.01,0.001,0.0995,0.0995
9.59,1,0.1,0.01,0.001,0.0995,0.0995
9.6,1,0.1,0.01,0.001,0.0995,0.0995
9.61,1,0.1,0.01,0.001,0.0995,0.0995
9.62,1,0.1,0.01,0.001,0.0995,0.0995
9.63,1,0.1,0.01,0.001,0.0995,0.0995
9.64,1,0.1,0.01,0.001,0.0995,0.0995
9.65,1,0.1,0.01,0.001,0.0995,0.0995
9.66,1,0.1,0.01,0.001,0.0995,0.0995
9.67,1,0.1,0.01,0.001,0.0995,0.0995
9.68,1,0.1,0.01,0.001,0.0995,0.0995
9.69,1,0.1,0.01,0.001,0.0995,0.0995
9.7,1,0.1,0.01,0.001,0.0995,0.0995
9.71,1,0.1,0.01,0.001,0.0995,0.0995
9.72,1,0.1,0.01,0.001,0.0995,0.0995
9.73,1,0.1,0.01,0.001,0.0995,0.0995
9.74,1,0.1,0.01,0.001,0.0995,0.0995
9.75,1,0.1,0.01,0.001,0.0995,0.0995
9.76,1,0.1,0.01,0.001,0.0995,0.0995
9.77,1,0.1,0.01,0.001,0.0995,0.0995
9.78,1,0.1,0.01,0.001,0.0995,0.0995
9.79,1,0.1,0.01,0.001,0.0995,0.0995
9.8,1,0.1,0.01,0.001,0.0995,0.0995
9.81,1,0.1,0.01,0.001,0.0995,0.0995
9.82,1,0.1,0.01,0.001,0.0995,0.0995
9.83,1,0.1,0.01,0.001,0.0995,0.0995
9.84,1,0.1,0.01,0.001,0.0995,0.0995
9.85,1,0.1,0.01,0.001,0.0995,0.0995
9.86,1,0.1,0.01,0.001,0.0995,0.0995
9.87,1,0.1,0.01,0.001,0.0995,0.0995
9.88,1,0.1,0.01,0.001,0.0995,0.0995
9.89,1,0.1,0.01,0.001,0.0995,0.0995
9.9,1,0.1,0.01,0.001,0.0995,0.0995
9.91,1,0.1,0.01,0.001,0.0995,0.0995
9.92,1,0.1,0.01,0.001,0.0995,0.0995
9.93,1,0.1,0.01,0.001,0.0995,0.0995
9.94,1,0.1,0.01,0.001,0.0995,0.0995
9.95,1,0.1,0.01,0.001,0.0995,0.0995
9.96,1,0.1,0.01,0.001,0.0995,0.0995
9.97,1,0.1,0.01,0.001,0.0995,0.0995
9.98,1,0.1,0.01,0.001,0.0995,0.0995
9.99,1,0.1,0.01,0.001,0.0995,0.0995
10,1,0.1,0.01,0.001,0.0995,0.0995
10.01,1,0.1,0.01,0.001,0.0995,0.0995
10.02,1,0.1,0.01,0.001,0.0995,0.0995
10.03,1,0.1,0.01,0.001,0.0995,0.0995
10.04,1,0.1,0.01,0.001,0.0995,0.0995
10.05,1,0.1,0.01,0.001,0.0995,0.0995
10.06,1,0.1,0.01,0.001,0.0995,0.0995
10.07,1,0.1,0.01,0.001,0.0995,0.0995
10.08,1,0.1,0.01,0.001,0.0995,0.0995
10.09,1,0.1,0.01,0.001,0.0995,0.0995
10.1,1,0.1,0.01,0.001,0.0995,0.0995
10.11,1,0.1,0.01,0.001,0.0995,0.0995
10.12,1,0.1,0.01,0.001,0.0995,0.0995
10.13,1,0.1,0.01,0.001,0.0995,0.0995
10.14,1,0.1,0.01,0.001,0.0995,0.0995
